comment,comment_type,tags
Nem sei qual e essa terceira aba ,likes_tabs,"{""choices"": [""DONT_KNOW""]}"
"O telefone ou mensagem tem que ser com uma pessoa nao computador, pois tem coisas que ele nao sabe responder ",none,"{""choices"": [""CUSTOMER_SERVICE""]}"
Ter modo escuro! Ou ate um roxo escuro #FicaDica,dark_mode,"{""choices"": [""DARK_MODE""]}"
"Acho bem acessivel, facil de usar",none,"{""choices"": [""COMPLIMENT""]}"
"Confuso,  sem uma expressao mais clean",none,"{""choices"": [""CLUTTER""]}"
Depende do que quero ver no app ,none,"{""choices"": [""INDIFFERENT""]}"
"No formato anterior ja encontrava tudo o que precisava de forma facil, mesmo que tivesse que rolar a tela",prefer_older,"{""choices"": [""PREFER_OLDER""]}"
E igual  as outras ,none,"{""choices"": [""INDIFFERENT""]}"
Bom dia  estou muito satisfeita  com o  aplicativo muito bem explicativo  ,liked,"{""choices"": [""COMPLIMENT""]}"
E um banco muito bom ,liked,"{""choices"": [""COMPLIMENT""]}"
E uma boa tela porem precisa trazer mas informacoes ,none,"{""choices"": [""COMPLIMENT"", ""FINDABILITY""]}"
Aplicativo otimo prefiro ele,liked,"{""choices"": [""COMPLIMENT""]}"
"Quero emprestimo e voces nao libera pra mim, Santander me libero 10 mil tenho Print se for necessario eu mostro !",lending,"{""choices"": [""PREFERS_COMPETITOR"", ""WANTS_LENDING""]}"
Muita informacao que gera uma desorganizacao ,none,"{""choices"": [""CLUTTER""]}"
Nao conheco tao bem outros,prefers_competitor,"{""choices"": [""DONT_KNOW""]}"
"Tem muita informacao em um lugar, limpar essa interface e deixar minimalista seria bem melhor",none,"{""choices"": [""CLUTTER""]}"
Adoro o app roxinho mais amado ,none,"{""choices"": [""COMPLIMENT""]}"
"Ainda nao usei muito as abas, principalmente os descontos. Mas para o dia a dia esta muito bem.",likes_tabs,"{""choices"": [""COMPLIMENT"", ""DONT_KNOW""]}"
E dificil achar rapidamente o que necessita ,findability,"{""choices"": [""FINDABILITY""]}"
Nao aparece tanta coisa ,findability,
"Retirar opcoes inuteis, ou deixar pelo menos personalizar, tipo algo mais modular",none,"{""choices"": [""CLUTTER"", ""WANTS_CUSTOMIZATION""]}"
"Faz tempo que tenho ele e nao ainda nao aumentou meu limite, as vezes,pega da conta transformo em credito para usar,e eles nada",limit_increase,"{""choices"": [""LIMIT_INCREASE""]}"
Como usuario basico as areas de emprestimo pra baixo nao uso. ,lending,"{""choices"": [""DONT_KNOW""]}"
Eu gostaria de poder fazer recarga pelo aplicativo ,none,"{""choices"": [""WANTS_PRODUCT""]}"
"A nova atualizacao ficou mais bonita e moderna, porem a funcionalidade antiga era melhor e mais pratico para se mexer.",none,"{""choices"": [""COMPLIMENT"", ""PREFER_OLDER""]}"
"Muito informacao, a confusao as vezes ",none,"{""choices"": [""CLUTTER""]}"
Cada banco com seu estilo.,none,"{""choices"": [""INDIFFERENT""]}"
"Nao, esta pratico, e bem facil de se mexer ",none,"{""choices"": [""COMPLIMENT""]}"
"Como relatei anteriormente, as vezes me perco na tela inicial.",findability,"{""choices"": [""CLUTTER""]}"
Nao me deram mais cartao de credito entao nao posso dizer ,none,"{""choices"": [""DONT_KNOW"", ""WANTS_PRODUCT""]}"
Muitas vezes buga o saldo e as vezes nem carrega,bug,"{""choices"": [""BUG""]}"
"Falta os saldos, o que gastei durante o mes, ta dificil achar antes era bem explicito!!",findability,"{""choices"": [""PREFER_OLDER"", ""FINDABILITY""]}"
As telas precisam ser mais simplificadas...principalmente  a do pix...,usability,"{""choices"": [""CLUTTER""]}"
df gdsf gfds gf,none,"{""choices"": [""GIBBERISH""]}"
Visual nao muito moderno,none,"{""choices"": [""COMPLAINT""]}"
A tela inicial do nubank e muito boa tem todas a opcao que desejamos ,none,"{""choices"": [""COMPLIMENT""]}"
Poderia ser mais editavel de acordo com as preferencias do cliente,none,"{""choices"": [""WANTS_CUSTOMIZATION""]}"
"Voces sao ruim to cansado ja desse banco ! Movimento todos os dias pago parcela antes do dia pago emprestimo antes do dia ! Ja se passaram quase 5 meses e voces nao dar aumento de limite e nem emprestimo! Santander, banco inter perfeito! Mais voces ruim demais vou parar de movimentar ",lending,"{""choices"": [""LIMIT_INCREASE"", ""WANTS_LENDING"", ""PREFERS_COMPETITOR"", ""COMPLAINT""]}"
"As vezes trava muito, e nao e culpa da internet ",bug,"{""choices"": [""BUG""]}"
Os investimentos  tenho que usar outro app e isso e  chato,none,"{""choices"": [""PREFERS_COMPETITOR""]}"
Faco uso de um aplicativo de uma corretora de investimentos e acho ele muito bom.,none,"{""choices"": [""PREFERS_COMPETITOR""]}"
Banco ruim nao me dar aumento de limite nem emprestimo ,lending,"{""choices"": [""LIMIT_INCREASE"", ""WANTS_LENDING"", ""COMPLAINT""]}"
Uma aba ta bom ,prefer_older,"{""choices"": [""PREFER_OLDER""]}"
Para mim esta bom,likes_tabs,"{""choices"": [""COMPLIMENT""]}"
"Nao conheco tantos outros aplicativos de bancos, mas em geral sao todas parecidas",prefers_competitor,"{""choices"": [""INDIFFERENT"", ""DONT_KNOW""]}"
Falta opcoes de forma clara e facil de vizualizar.,none,"{""choices"": [""CLUTTER""]}"
So na senha quando entra no aplicativo e chata demais que usa a senha da tela de bloqueio do celular ,block_screen,"{""choices"": [""BLOCK_SCREEN""]}"
Sempre melhorar para seu cliente ,none,"{""choices"": [""INDIFFERENT""]}"
"As vezes da um bug no aplicativo, ao acessar, acho que nao e o telefone",bug,"{""choices"": [""BUG""]}"
Outros aplicativos tem tudo na tela principal,prefers_competitor,"{""choices"": [""PREFERS_COMPETITOR"", ""FINDABILITY""]}"
"Aplicativo Iti (itau) tem bem menos informacoes, interface mais limpa e mais facil de manusear. ",usability,"{""choices"": [""PREFERS_COMPETITOR"", ""CLUTTER""]}"
Tem coisas que demora muito procurando ,slowness,"{""choices"": [""FINDABILITY""]}"
"Talvez fosse interessante a criacao de graficos, como de saldo/tempo, de rendimento ou de variacoes de moeda.",none,"{""choices"": [""SUGGESTION""]}"
Poderia ser mais simples e de mais facil acesso a algumas opcoes!,none,"{""choices"": [""CLUTTER""]}"
A tela do Banco Inter e mais completa. ,prefers_competitor,"{""choices"": [""PREFERS_COMPETITOR""]}"
"Tem algum item que precisamos rolar a tela para ser achado , acho que poderia ser mais facil algum item ou ter uma tela de pesquisa ",none,"{""choices"": [""FINDABILITY"", ""CLUTTER""]}"
"Assim como no Banco do Brasil, a tela e bem organizada.",prefers_competitor,"{""choices"": [""COMPLIMENT"", ""COMPETITOR""]}"
"Nem sempre tem tudo, as vezes temos que mudar de tela! Ou seja de aba.",likes_tabs,"{""choices"": [""FINDABILITY""]}"
Por que demora um pouco pra ser iniciada,slowness,"{""choices"": [""SLOWNESS""]}"
Eu ja justifiquei anteriormente o porque ela nao e a melhor.,none,"{""choices"": [""INDIFFERENT""]}"
Os outros apps dao mais credito ,prefers_competitor,"{""choices"": [""LIMIT_INCREASE""]}"
Eu ja realizei os comentarios que justificam esta minha resposta nas respostas anteriores.,none,"{""choices"": [""INDIFFERENT""]}"
"Pra mim, e bem completo. ",none,"{""choices"": [""COMPLIMENT""]}"
Algumas operacoes que precisei exemplo de extrato detalhado nao consegui ver na tela inicial ,findability,"{""choices"": [""FINDABILITY""]}"
Nao encontrei onde consigo fazer transferencia TED com facilidade.,none,"{""choices"": [""FINDABILITY""]}"
Questao do saldo em dinheiro era pra ficar mais escondido ,none,"{""choices"": [""HIDE_INFO""]}"
"Nao utilizo todas as informacoes apresentadas, uma tela mais limpa, e simples, facilitaria o uso.",none,"{""choices"": [""CLUTTER""]}"
Tem outros apps com a tela inicial do mesmo nivel que a do Nubank ,prefers_competitor,"{""choices"": [""PREFERS_COMPETITOR""]}"
"Acho que tem muita informacao na tela inicial, muitos 'textos'. Acho que se fosse mais minimalista estaria melhor, na minha opiniao.",findability,"{""choices"": [""CLUTTER""]}"
"A tela inicial mostra um monte de servicos que nao utilizo e nao desejo, por exemplo informacoes da conta.",dont_know,"{""choices"": [""CLUTTER""]}"
O shopping nubank poderia ter mais opcoes dentro da aba. Abrindo diretamente pelo app Nu.,likes_tabs,"{""choices"": [""SUGGESTION""]}"
"acho que poderia separar uma aba pro cartao de credito e outra pra conta, talvez ser algo modular, onde eu possa customizar.",none,"{""choices"": [""SUGGESTION"", ""WANTS_CUSTOMIZATION""]}"
Nunca abri 3 abas ,none,"{""choices"": [""INDIFFERENT""]}"
Estava acostumado com o outro formato ,none,"{""choices"": [""PREFER_OLDER""]}"
"As vezes leva alguns segundos para carregar, e nao se trata da minha Internet, e sim do proprio aplicativo.",none,"{""choices"": [""SLOWNESS""]}"
Nao tenho outro aplicativo de banco para saber ,dont_know,"{""choices"": [""DONT_KNOW""]}"
"Sim, que seja editavel ",none,"{""choices"": [""WANTS_CUSTOMIZATION""]}"
"Mudando de assunto, poderia aumentar meu limite de credito. Obrigado",limit_increase,"{""choices"": [""LIMIT_INCREASE""]}"
Um aplicativo muito bom . So falta me dar mais limite kkkkkkk,none,"{""choices"": [""COMPLIMENT"", ""LIMIT_INCREASE""]}"
Gostaria de ter acesso a opcao emprestimos ,lending,"{""choices"": [""WANTS_LENDING""]}"
Esta demorando pra abrir o app deveria ser mais rapido.,slowness,"{""choices"": [""SLOWNESS""]}"
Sim nao to 100 % sastifeita com aplicativo compro e pago td sertinho meu limite nunca aumenta ,limit_increase,"{""choices"": [""LIMIT_INCREASE"", ""COMPLAINT""]}"
Tenho dificuldade as vezes.,none,"{""choices"": [""DIFFICULTY""]}"
"No momento nao teria nada a acrescentar, pois esta tudo perfeito ",liked,"{""choices"": [""COMPLIMENT"", ""INDIFFERENT""]}"
E dificil encontrar algumas funcoes como alterar limite.,none,"{""choices"": [""FINDABILITY""]}"
Sou apenas cliente e gosto do nubemk,none,"{""choices"": [""COMPLIMENT""]}"
Nao uso outro app,dont_know,"{""choices"": [""DONT_KNOW""]}"
A parte de investimentos pra min hj nao e importante ,none,"{""choices"": [""INDIFFERENT"", ""PRODUCT""]}"
